datetime,close,acc_close,div
2015-05-20,1859.2,,0.0354
2015-05-21,1896.88,,0.0352
2015-05-22,1944.8,,0.0341
2015-05-25,2008.72,,0.0332
2015-05-26,2031.88,,0.033
2015-05-27,2039.77,,0.0332
2015-05-28,1903.4,,0.0355
2015-05-29,1888.55,,0.0358
2015-06-01,2010.49,,0.0342
2015-06-02,2048.26,,0.0341
2015-06-03,2045.94,,0.0341
2015-06-04,2070.65,,0.0332
2015-06-05,2103.4,,0.0329
2015-06-08,2168.99,,0.0313
2015-06-09,2161.6,,0.0315
2015-06-10,2138.62,,0.032
2015-06-11,2130,,0.0323
2015-06-12,2167.6,,0.032
2015-06-15,2139.37,,0.0329
2015-06-16,2059.52,,0.0337
2015-06-17,2108.88,,0.0331
2015-06-18,2036.16,,0.0346
2015-06-19,1898.35,,0.0364
2015-06-23,1945.08,,0.0352
2015-06-24,2017.77,,0.0344
2015-06-25,1961.35,,0.0352
2015-06-26,1818.99,,0.0372
2015-06-29,1789.94,,0.0359
2015-06-30,1884.03,,0.034
2015-07-01,1764.88,,0.0357
2015-07-02,1684.71,,0.0349
2015-07-03,1560.62,,0.0367
2015-07-06,1612.16,,0.034
2015-07-07,1597.34,,0.0325
2015-07-08,1490.03,,0.0344
2015-07-09,1598.13,,0.0329
2015-07-10,1691.31,,0.0324
2015-07-13,1742.75,,0.0334
2015-07-14,1701.89,,0.0342
2015-07-15,1631.79,,0.0335
2015-07-16,1646.6,,0.0338
2015-07-17,1701.21,,0.0337
2015-07-20,1703.14,,0.0336
2015-07-21,1710.86,,0.0339
2015-07-22,1708.13,,0.0341
2015-07-23,1739.65,,0.0339
2015-07-24,1712.34,,0.0342
2015-07-27,1558.44,,0.0373
2015-07-28,1549.13,,0.0374
2015-07-29,1604.48,,0.0372
2015-07-30,1562.62,,0.0379
2015-07-31,1560.48,,0.0382
2015-08-03,1570.8,,0.0379
2015-08-04,1618.33,,0.0375
2015-08-05,1588.26,,0.0382
2015-08-06,1576.37,,0.0385
2015-08-07,1605.71,,0.0381
2015-08-10,1682.12,,0.0368
2015-08-11,1674.17,,0.0371
2015-08-12,1646.76,,0.0375
2015-08-13,1682.88,,0.0374
2015-08-14,1684.47,,0.0375
2015-08-17,1715.45,,0.0379
2015-08-18,1607.86,,0.039
2015-08-19,1632.82,,0.0393
2015-08-20,1577.19,,0.0402
2015-08-21,1515.45,,0.0411
2015-08-24,1383.22,,0.0449
2015-08-25,1270.35,,0.0486
2015-08-26,1265.64,,0.0474
2015-08-27,1332.77,,0.045
2015-08-28,1395.87,,0.0423
2015-08-31,1386.6,,0.0421
2015-09-01,1383.31,,0.0406
2015-09-02,1386.15,,0.0396
2015-09-07,1334.64,,0.042
2015-09-08,1376.08,,0.0414
2015-09-09,1402.84,,0.0409
2015-09-10,1376.94,,0.0411
